civilians,militants_terrorists_insurgents,security_forces,total_number_of_people,district,report_date,state_full,svmlabel1,objecttype,verb
0,3,1,4,srinagar,3/7/2000,Jammu and Kashmir,security,person,killed
0,7,0,7,baramulla,3/7/2000,Jammu and Kashmir,terrorist,person,killed
0,1,0,1,calcutta,3/7/2000,,terrorist,person,arrested
,7,,7,kamrup,3/7/2000,Assam,terrorist,person,surrendered
0,2,0,2,karimnagar,3/8/2000,,terrorist,person,killed
0,1,0,1,tinsukia,3/8/2000,Assam,civilian,person,killed
0,0,1,1,churachandpur,3/9/2000,Manipur,civilian,person,injured
1,0,0,1,srinagar,3/9/2000,,civilian,person,arrested
0,3,0,3,jorhat,3/12/2000,,terrorist,person,arrested
3,0,0,3,sibsagar,3/12/2000,,civilian,person,arrested
1,0,8,9,garwah,3/13/2000,Bihar,security,person,killed
1,0,0,1,gadchiroli,3/14/2000,Maharashtra,civilian,person,killed
0,3,0,3,srinagar,3/15/2000,Jammu and Kashmir,terrorist,person,killed
,2,,2,ganderbal,3/15/2000,Jammu and Kashmir,terrorist,person,killed
0,1,1,2,poonch,3/15/2000,Jammu and Kashmir,terrorist,person,killed
0,4,0,4,north tripura,3/15/2000,Tripura,civilian,person,killed
4,0,0,4,north tripura,3/15/2000,Tripura,civilian,person,injured
0,2,0,2,gurdaspur,3/16/2000,,terrorist,person,arrested
0,6,2,8,budgam,3/17/2000,Jammu and Kashmir,security,person,killed
0,0,1,1,dhubri,3/17/2000,,civilian,person,killed
2,0,0,2,dhubri,3/17/2000,,civilian,person,injured
,,1,1,jammu,3/18/2000,,security,person,wounded
0,1,0,1,jammu,3/18/2000,,terrorist,person,arrested
0,2,2,4,poonch,3/18/2000,,security,person,killed
0,0,1,1,srinagar,3/18/2000,,civilian,person,injured
0,1,0,1,badgam,3/18/2000,,terrorist,person,killed
0,3,0,3,west godavari,3/18/2000,,civilian,person,killed
,3,,3,guntur,3/21/2000,,terrorist,person,killed
0,1,0,1,jammu,3/21/2000,,security,person,arrested
0,0,1,1,srinagar,3/22/2000,Jammu and Kashmir,civilian,person,injured
,10,,10,nalbari,3/23/2000,,terrorist,person,killed
0,1,0,1,kamrup,3/23/2000,,terrorist,person,killed
0,2,0,2,kamrup,3/23/2000,,terrorist,person,killed
0,1,0,1,kamrup,3/23/2000,,terrorist,person,killed
0,2,0,2,nalgonda,3/23/2000,Andhra Pradesh,terrorist,person,killed
0,0,0,0,kamrup,3/24/2000,,civilian,person,killed
0,8,0,8,rajouri,3/24/2000,Jammu and Kashmir,terrorist,person,killed
0,1,0,1,nagaon,3/25/2000,Assam,civilian,person,arrested
1,0,0,1,anantnag,3/25/2000,Jammu and Kashmir,civilian,person,arrested
0,3,0,3,baramulla,3/26/2000,Jammu and Kashmir,terrorist,person,killed
0,5,0,5,anantnag,3/26/2000,Jammu and Kashmir,civilian,person,killed
,1,,1,nalbari,3/26/2000,Assam,terrorist,person,killed
5,,,5,bishnupur,3/26/2000,Manipur,civilian,person,killed
2,9,1,12,jammu,3/28/2000,,civilian,person,killed
5,0,0,5,jammu,3/28/2000,,civilian,person,injured
0,2,0,2,kupwara,3/28/2000,,civilian,person,killed
2,0,0,2,baramulla,3/29/2000,Jammu and Kashmir,civilian,person,killed
2,0,0,2,baramulla,3/29/2000,Jammu and Kashmir,civilian,person,injured
0,2,0,2,kupwara,3/29/2000,Jammu and Kashmir,terrorist,person,killed
0,4,0,4,kupwara,3/29/2000,Jammu and Kashmir,civilian,person,killed
0,1,0,1,kupwara,3/29/2000,Jammu and Kashmir,terrorist,person,killed
0,10,0,10,dantewada,3/29/2000,Madhya Pradesh,terrorist,person,arrested
0,1,0,1,gurdaspur,3/29/2000,Punjab,terrorist,person,arrested
0,0,0,0,srinagar,3/31/2000,Jammu and Kashmir,terrorist,person,killed
0,1,0,1,reasi,3/31/2000,Jammu and Kashmir,civilian,person,injured
1,0,1,2,udhampur,3/31/2000,Jammu and Kashmir,security,person,killed
2,0,0,2,srinagar,3/31/2000,Jammu and Kashmir,civilian,person,injured
4,0,0,4,hazaribagh,3/31/2000,Bihar,civilian,person,killed
,5,,5,aurangabad,3/31/2000,Bihar,terrorist,person,arrested
0,1,0,1,kamrup,3/31/2000,,terrorist,person,killed
0,1,0,1,west tripura,3/31/2000,Tripura,civilian,person,killed
1,2,2,5,kupwara,4/1/2000,Jammu and Kashmir,security,person,killed
5,0,0,5,anantnag,4/1/2000,Jammu and Kashmir,civilian,person,killed
0,2,0,2,nizamabad,4/1/2000,Andhra Pradesh,civilian,person,killed
1,0,0,1,nizamabad,4/1/2000,Andhra Pradesh,civilian,person,killed
0,3,0,3,cuddalore,4/1/2000,,civilian,person,arrested
0,0,0,0,jammu,4/3/2000,Jammu and Kashmir,civilian,person,killed
0,43,0,43,bongaigaon,4/3/2000,Assam,civilian,person,surrendered
0,1,0,1,kupwara,4/3/2000,,terrorist,person,killed
0,1,0,1,baramulla,4/3/2000,,terrorist,person,killed
0,1,0,1,rajouri,4/3/2000,,terrorist,person,killed
0,1,0,1,muzaffarnagar,4/3/2000,,terrorist,person,arrested
3,,,3,east godavari,4/3/2000,,terrorist,person,arrested
7,,,7,anantnag,4/4/2000,Jammu and Kashmir,civilian,person,killed
11,0,0,11,anantnag,4/4/2000,Jammu and Kashmir,civilian,person,injured
2,,,2,bandipore,4/4/2000,Jammu and Kashmir,civilian,person,killed
0,1,0,1,doda,4/4/2000,Jammu and Kashmir,terrorist,person,killed
0,1,0,1,doda,4/4/2000,Jammu and Kashmir,civilian,person,injured
0,4,0,4,ramrup,4/4/2000,Assam,terrorist,person,arrested
0,5,0,5,west tripura,4/4/2000,Tripura,terrorist,person,arrested
0,5,0,5,west tripura,4/4/2000,Tripura,security,person,arrested
0,3,0,3,north tripura,4/4/2000,Tripura,terrorist,person,arrested
4,0,0,4,pulwama,4/5/2000,Jammu and Kashmir,civilian,person,killed
3,0,0,3,pulwama,4/5/2000,Jammu and Kashmir,civilian,person,injured
0,1,0,1,rajouri,4/6/2000,,terrorist,person,killed
0,1,0,1,rajouri,4/6/2000,,terrorist,person,killed
2,0,1,3,baramullah,4/6/2000,,security,person,killed
1,,,1,baramullah,4/6/2000,,civilian,person,killed
0,0,5,5,churachandpur,4/7/2000,Manipur,security,person,killed
0,3,0,3,kathua,4/7/2000,Jammu and Kashmir,terrorist,person,arrested
2,0,0,2,anantnag,4/7/2000,Jammu and Kashmir,civilian,person,killed
0,0,2,2,badgam,4/8/2000,Jammu and Kashmir,civilian,person,killed
0,2,0,2,rajouri,4/8/2000,Jammu and Kashmir,terrorist,person,killed
1,0,0,1,badgam,4/8/2000,Jammu and Kashmir,civilian,person,killed
0,0,0,0,nagaon,4/8/2000,Assam,terrorist,person,arrested
,5,,5,baramulla,4/10/2000,Jammu and Kashmir,terrorist,person,killed
0,3,3,6,bandipora,4/10/2000,Jammu and Kashmir,security,person,killed
0,3,0,3,kathua,4/10/2000,Jammu and Kashmir,terrorist,person,arrested
0,3,0,3,kathua,4/10/2000,Jammu and Kashmir,terrorist,person,killed
,11000,,11000,srinagar,4/10/2000,Jammu and Kashmir,terrorist,person,killed
0,3,0,3,imphal west,4/10/2000,Manipur,civilian,person,killed
11,0,0,11,karbi anglong,4/11/2000,Assam,civilian,person,killed
,1,,1,sibsagar,4/11/2000,Assam,terrorist,person,killed
3,18,4,25,jammu,4/11/2000,Jammu and Kashmir,civilian,person,killed
0,8,3,11,baramullah,4/11/2000,Jammu and Kashmir,security,person,killed
0,5,0,5,khammam,4/11/2000,,terrorist,person,killed
2,0,0,2,dhalai,4/12/2000,Tripura,civilian,person,killed
0,1,1,2,karimnagar,4/12/2000,Andhra Pradesh,terrorist,person,killed
0,3,0,3,bandipora,4/12/2000,,terrorist,person,killed
0,1,0,1,rajouri,4/12/2000,,terrorist,person,killed
0,0,1,1,srinagar,4/13/2000,Jammu and Kashmir,civilian,person,killed
0,0,12,12,srinagar,4/13/2000,Jammu and Kashmir,security,person,injured
0,1,0,1,srinagar,4/13/2000,Jammu and Kashmir,terrorist,person,killed
0,1,0,1,srinagar,4/13/2000,Jammu and Kashmir,terrorist,person,arrested
0,3,0,3,poonch,4/13/2000,Jammu and Kashmir,terrorist,person,killed
1,2,1,4,udhampur,4/13/2000,Jammu and Kashmir,security,person,killed
5,4,0,9,jammu,4/14/2000,Jammu and Kashmir,terrorist,person,killed
0,1,0,1,kupwara,4/14/2000,Jammu and Kashmir,civilian,person,killed
0,1,0,1,anantnag,4/14/2000,Jammu and Kashmir,terrorist,person,arrested
0,7,0,7,jammu,4/16/2000,Jammu and Kashmir,terrorist,person,killed
0,3,0,3,udhampur,4/16/2000,Jammu and Kashmir,terrorist,person,killed
0,2,0,2,pulwama,4/16/2000,Jammu and Kashmir,terrorist,person,killed
0,1,0,1,kupwara,4/16/2000,Jammu and Kashmir,terrorist,person,killed
0,1,0,1,poonch,4/16/2000,Jammu and Kashmir,terrorist,person,killed
0,1,0,1,pulwama,4/16/2000,Jammu and Kashmir,terrorist,person,arrested
0,4,0,4,hyderabad,4/16/2000,,civilian,person,killed
0,7,0,7,dantewada,4/16/2000,,civilian,person,surrendered
,,2,2,jalpaiguri,4/16/2000,West Bengal,civilian,person,injured
0,1,0,1,anantnag,4/17/2000,Jammu and Kashmir,terrorist,person,killed
0,2,0,2,kupwara,4/17/2000,Jammu and Kashmir,terrorist,person,killed
0,5,0,5,kupwara,4/17/2000,Jammu and Kashmir,terrorist,person,killed
0,0,2,2,anantnag,4/17/2000,Jammu and Kashmir,security,person,injured
0,2,0,2,rajouri,4/17/2000,Jammu and Kashmir,terrorist,person,killed
0,1,0,1,badgam,4/17/2000,Jammu and Kashmir,terrorist,person,arrested
2,0,0,2,pulwama,4/17/2000,Jammu and Kashmir,civilian,person,killed
0,4,0,4,jammu,4/18/2000,Jammu and Kashmir,terrorist,person,killed
0,0,11,11,jammu,4/18/2000,Jammu and Kashmir,security,person,injured
0,2,0,2,adilabad,4/18/2000,Andhra Pradesh,terrorist,person,killed
0,0,2,2,west tripura,4/18/2000,Tripura,security,person,killed
0,0,17,17,west tripura,4/18/2000,Tripura,civilian,person,injured
0,4,0,4,hyderabad,4/18/2000,Andhra Pradesh,civilian,person,arrested
,4,,4,jammu,4/19/2000,Jammu and Kashmir,terrorist,person,killed
0,0,7,7,jammu,4/19/2000,Jammu and Kashmir,security,person,injured
0,1,0,1,baramullah,4/19/2000,Jammu and Kashmir,civilian,person,killed
0,0,2,2,bandipora,4/19/2000,Jammu and Kashmir,security,person,injured
0,1,0,1,dhalai,4/19/2000,,terrorist,person,killed
4,0,4,8,jammu,4/20/2000,Jammu and Kashmir,security,person,injured
4,0,0,4,poonch,4/20/2000,Jammu and Kashmir,civilian,person,killed
2,0,0,2,poonch,4/20/2000,Jammu and Kashmir,civilian,person,killed
11,0,0,11,karbi anglong,4/21/2000,,civilian,person,killed
10,,,10,jammu,4/21/2000,Jammu and Kashmir,civilian,person,killed
0,1,0,1,jammu,4/21/2000,Jammu and Kashmir,civilian,person,injured
,2,,2,udhampur,4/21/2000,Jammu and Kashmir,terrorist,person,killed
0,0,1,1,rajouri,4/21/2000,Jammu and Kashmir,security,person,killed
0,2,0,2,rajouri,4/21/2000,Jammu and Kashmir,terrorist,person,killed
,1,,1,doda,4/21/2000,Jammu and Kashmir,terrorist,person,arrested
0,11,2,13,jammu,4/22/2000,Jammu and Kashmir,security,person,killed
0,4,0,4,doda,4/22/2000,Jammu and Kashmir,terrorist,person,killed
,3,,3,anantnag,4/22/2000,Jammu and Kashmir,terrorist,person,killed
0,0,1,1,kupwara,4/22/2000,Jammu and Kashmir,security,person,killed
0,0,2,2,balaghat,4/22/2000,Madhya Pradesh,security,person,killed
0,0,1,1,balaghat,4/22/2000,Madhya Pradesh,civilian,person,injured
0,1,0,1,poonch,4/24/2000,Jammu and Kashmir,terrorist,person,killed
0,0,3,3,doda,4/24/2000,Jammu and Kashmir,security,person,injured
0,2,0,2,anantnag,4/24/2000,Jammu and Kashmir,terrorist,person,arrested
0,2,0,2,adilabad,4/24/2000,Andhra Pradesh,terrorist,person,arrested
6,0,0,6,karbi anglong,4/25/2000,Assam,civilian,person,killed
,,1,1,jammu,4/25/2000,Jammu and Kashmir,security,person,killed
0,0,4,4,jammu,4/25/2000,Jammu and Kashmir,security,person,injured
0,1,0,1,rajouri,4/25/2000,Jammu and Kashmir,terrorist,person,killed
0,1,0,1,budgam,4/25/2000,Jammu and Kashmir,terrorist,person,arrested
0,1,0,1,kamrup,4/25/2000,,terrorist,person,arrested
0,1,0,1,nagaon,4/25/2000,,civilian,person,arrested
5,0,0,5,jammu,4/26/2000,Jammu and Kashmir,civilian,person,killed
0,6,0,6,nalgonda,4/27/2000,Andhra Pradesh,civilian,person,killed
0,0,5,5,jammu,4/27/2000,,security,person,killed
0,0,5,5,jammu,4/27/2000,,terrorist,person,injured
0,12,0,12,warangal,4/28/2000,Andhra Pradesh,terrorist,person,killed
0,6,0,6,jammu,4/28/2000,Jammu and Kashmir,terrorist,person,killed
0,4,0,4,rajouri,4/28/2000,Jammu and Kashmir,terrorist,person,killed
0,2,0,2,rajouri,4/28/2000,Jammu and Kashmir,terrorist,person,killed
2,0,0,2,poonch,4/28/2000,Jammu and Kashmir,civilian,person,killed
3,0,0,3,baramulla,4/28/2000,Jammu and Kashmir,civilian,person,killed
0,4,0,4,nalbari,4/28/2000,Assam,terrorist,person,killed
1,0,0,1,gaya,4/28/2000,Bihar,civilian,person,killed
1,0,0,1,gaya,4/28/2000,Bihar,civilian,person,injured
0,2,0,2,jorhat,4/28/2000,Assam,terrorist,person,arrested
,1,,1,dibrugarh,4/28/2000,Assam,terrorist,person,surrendered
0,1,0,1,dibrugarh,4/28/2000,Assam,terrorist,person,arrested
0,11,0,11,nalbari,4/28/2000,Assam,civilian,person,surrendered
1,7,1,9,jammu,4/29/2000,Jammu and Kashmir,security,person,killed
1,0,0,1,baramulla,4/29/2000,Jammu and Kashmir,civilian,person,killed
1,0,0,1,baramulla,4/29/2000,Jammu and Kashmir,civilian,person,injured
0,6,0,6,karimnagar,4/29/2000,Andhra Pradesh,civilian,person,surrendered
0,2,0,2,morigaon,4/29/2000,Assam,terrorist,person,arrested
0,6,0,6,morigaon,4/29/2000,Assam,terrorist,person,surrendered
2,0,0,2,shopian,5/1/2000,Jammu and Kashmir,civilian,person,injured
2,,,2,anantnag,5/1/2000,Jammu and Kashmir,civilian,person,injured
0,1,0,1,srinagar,5/1/2000,Jammu and Kashmir,civilian,person,killed
0,1,0,1,doda,5/1/2000,Jammu and Kashmir,terrorist,person,killed
0,0,3,3,doda,5/1/2000,Jammu and Kashmir,security,person,killed
0,2,0,2,jammu,5/1/2000,Jammu and Kashmir,terrorist,person,killed
0,1,0,1,doda,5/1/2000,Jammu and Kashmir,civilian,person,arrested
2,0,0,2,west tripura,5/2/2000,,civilian,person,killed
0,0,1,1,srinagar,5/3/2000,Jammu and Kashmir,security,person,killed
0,2,0,2,kathua,5/3/2000,Jammu and Kashmir,terrorist,person,arrested
1,0,0,1,bandipore,5/3/2000,Jammu and Kashmir,civilian,person,killed
1,0,0,1,bandipore,5/3/2000,Jammu and Kashmir,civilian,person,injured
0,3,1,4,bandipora,5/4/2000,Jammu and Kashmir,security,person,killed
0,0,1,1,bandipora,5/4/2000,Jammu and Kashmir,security,person,injured
0,1,0,1,kupwara,5/4/2000,Jammu and Kashmir,terrorist,person,killed
0,2,1,3,baramulla,5/5/2000,Jammu and Kashmir,security,person,killed
1,0,0,1,doda,5/5/2000,Jammu and Kashmir,civilian,person,killed
0,1,0,1,jammu,5/5/2000,Jammu and Kashmir,terrorist,person,arrested
1,0,0,1,jalpaiguri,5/5/2000,West Bengal,civilian,person,killed
0,1,0,1,kupwara,5/6/2000,Jammu and Kashmir,terrorist,person,surrendered
,1,,1,udhampur,5/6/2000,Jammu and Kashmir,terrorist,person,killed
0,1,0,1,udhampur,5/6/2000,Jammu and Kashmir,terrorist,person,killed
0,2,0,2,darrang,5/6/2000,Assam,terrorist,person,arrested
0,6,0,6,udhampur,5/8/2000,,terrorist,person,killed
0,6,0,6,udhampur,5/8/2000,,civilian,person,killed
0,2,0,2,baramullah,5/8/2000,,security,person,killed
0,1,0,1,anantnag,5/8/2000,,terrorist,person,killed
0,2,0,2,kathua,5/8/2000,,civilian,person,killed
2,0,1,3,udhampur,5/8/2000,,security,person,killed
2,0,0,2,kupwara,5/8/2000,,civilian,person,killed
1,0,0,1,kupwara,5/8/2000,,civilian,person,injured
0,1,0,1,pulwama,5/8/2000,,civilian,person,arrested
0,2,0,2,pulwama,5/8/2000,,terrorist,person,arrested
0,3,0,3,doda,5/8/2000,,terrorist,person,killed
0,2,0,2,anantnag,5/8/2000,,terrorist,person,arrested
4,,,4,palamu,5/8/2000,Bihar,civilian,person,killed
0,4,0,4,kapurthala,5/8/2000,Punjab,terrorist,person,arrested
0,1,1,2,anantnag,5/9/2000,Jammu and Kashmir,security,person,killed
0,1,0,1,anantnag,5/9/2000,Jammu and Kashmir,terrorist,person,killed
0,3,0,3,udhampur,5/9/2000,Jammu and Kashmir,terrorist,person,killed
0,8,0,8,thoubal,5/10/2000,Manipur,terrorist,person,killed
0,5,0,5,tinsukia,5/10/2000,,terrorist,person,killed
4,0,0,4,south tripura,5/10/2000,Tripura,civilian,person,killed
0,70,0,70,mon,5/11/2000,,terrorist,person,killed
0,0,4,4,baramullah,5/11/2000,Jammu and Kashmir,security,person,killed
3,0,0,3,baramullah,5/11/2000,Jammu and Kashmir,civilian,person,injured
6,0,0,6,jorhat,5/11/2000,Assam,terrorist,person,arrested
0,2,0,2,kupwara,5/12/2000,Jammu and Kashmir,terrorist,person,killed
0,0,1,1,udhampur,5/12/2000,Jammu and Kashmir,security,person,killed
0,0,1,1,udhampur,5/12/2000,Jammu and Kashmir,civilian,person,injured
0,3,0,3,poonch,5/12/2000,Jammu and Kashmir,terrorist,person,killed
1,0,0,1,kupwara,5/12/2000,Jammu and Kashmir,civilian,person,killed
1,0,0,1,kupwara,5/12/2000,Jammu and Kashmir,civilian,person,injured
0,0,4,4,baramullah,5/12/2000,Jammu and Kashmir,security,person,killed
0,1,0,1,nagaon,5/12/2000,Assam,terrorist,person,killed
0,2,0,2,dhubri,5/12/2000,Assam,civilian,person,arrested
,1,,1,jalpaiguri,5/13/2000,,civilian,person,killed
0,0,13,13,jalpaiguri,5/13/2000,,security,person,injured
0,0,1,1,jammu,5/13/2000,Jammu and Kashmir,terrorist,person,injured
0,9,0,9,nizamabad,5/13/2000,,terrorist,person,surrendered
0,7,0,7,nizamabad,5/13/2000,,terrorist,person,arrested
0,1,0,1,jammu,5/15/2000,,terrorist,person,killed
,3,,3,rajouri,5/15/2000,,terrorist,person,killed
0,1,0,1,hamirpur,5/15/2000,,civilian,person,killed
0,6,0,6,budgam,5/15/2000,,terrorist,person,killed
2,4,0,6,karbi anglong,5/15/2000,Assam,terrorist,person,killed
1,,,1,sonitpur,5/15/2000,Assam,civilian,person,killed
0,1,0,1,nalbari,5/16/2000,Assam,terrorist,person,killed
,1,,1,tinsukia,5/16/2000,Assam,civilian,person,arrested
,,,1,dibrugarh,5/16/2000,Assam,civilian,person,arrested
0,2,0,2,darrang,5/16/2000,Assam,civilian,person,arrested
0,1,0,1,rajouri,5/17/2000,Jammu and Kashmir,terrorist,person,killed
1,0,0,1,ganderbal,5/17/2000,Jammu and Kashmir,civilian,person,killed
0,1,0,1,morigaon,5/17/2000,Assam,terrorist,person,arrested
0,0,3,3,nizamabad,5/18/2000,Andhra Pradesh,security,person,killed
1,0,0,1,srinagar,5/18/2000,Jammu and Kashmir,civilian,person,killed
0,0,1,1,rajouri,5/18/2000,Jammu and Kashmir,security,person,killed
,,2,2,rajouri,5/18/2000,Jammu and Kashmir,civilian,person,injured
0,2,0,2,anantnag,5/18/2000,Jammu and Kashmir,terrorist,person,killed
0,0,2,2,srinagar,5/18/2000,Jammu and Kashmir,security,person,injured
1,0,0,1,badgam,5/18/2000,Jammu and Kashmir,civilian,person,killed
1,0,0,1,baramullah,5/18/2000,Jammu and Kashmir,civilian,person,killed
2,0,0,2,kupwara,5/18/2000,Jammu and Kashmir,civilian,person,injured
0,2,0,2,poonch,5/18/2000,Jammu and Kashmir,terrorist,person,arrested
0,0,1,1,bishnupur,5/18/2000,Manipur,security,person,killed
14,0,0,12,south tripura,5/19/2000,Tripura,civilian,person,killed
6,0,0,6,n c hills,5/19/2000,Assam,civilian,person,killed
0,2,0,2,karbi anglong,5/19/2000,Assam,terrorist,person,killed
0,2,0,2,poonch,5/19/2000,Jammu and Kashmir,terrorist,person,killed
0,2,0,2,udhampur,5/19/2000,Jammu and Kashmir,terrorist,person,killed
1,,,1,srinagar,5/19/2000,Jammu and Kashmir,civilian,person,injured
1,0,0,1,doda,5/19/2000,Jammu and Kashmir,civilian,person,killed
,1,,1,doda,5/19/2000,Jammu and Kashmir,terrorist,person,killed
0,3,0,3,rajouri,5/20/2000,,civilian,person,killed
0,1,0,1,doda,5/20/2000,,terrorist,person,killed
0,1,0,1,patan,5/20/2000,,terrorist,person,killed
0,0,1,1,anantnag,5/20/2000,,security,person,killed
,,,0,bangalore,5/20/2000,,terrorist,person,injured
0,1,0,1,morigaon,5/20/2000,Assam,terrorist,person,arrested
5,0,0,5,hazaribagh,5/22/2000,Bihar,civilian,person,killed
0,2,0,2,kupwara,5/22/2000,Jammu and Kashmir,terrorist,person,killed
0,1,0,1,pulwama,5/22/2000,Jammu and Kashmir,terrorist,person,killed
1,0,0,1,anantnag,5/22/2000,Jammu and Kashmir,civilian,person,killed
0,1,0,1,pulwama,5/22/2000,Jammu and Kashmir,terrorist,person,arrested
0,2,0,2,doda,5/22/2000,Jammu and Kashmir,terrorist,person,killed
1,0,0,1,anantnag,5/22/2000,Jammu and Kashmir,civilian,person,killed
1,0,0,1,kishtwar,5/22/2000,Jammu and Kashmir,terrorist,person,arrested
3,0,0,3,srinagar,5/23/2000,Jammu and Kashmir,civilian,person,arrested
0,3,3,6,doda,5/23/2000,Jammu and Kashmir,security,person,killed
,2,,2,anantnag,5/23/2000,Jammu and Kashmir,civilian,person,killed
0,2,0,2,tinsukia,5/24/2000,Assam,terrorist,person,killed
0,2,0,2,jorhat,5/24/2000,Assam,terrorist,person,arrested
10,0,0,10,srinagar,5/24/2000,,civilian,person,injured
6,0,0,6,north tripura,5/24/2000,Tripura,civilian,person,injured
,1,,1,jorhat,5/25/2000,Assam,terrorist,person,arrested
,2,,2,rajouri,5/26/2000,Jammu and Kashmir,terrorist,person,killed
0,13,0,13,rajouri,5/27/2000,,terrorist,person,killed
0,6,0,6,sangli,5/27/2000,,terrorist,person,killed
0,4,0,4,sangli,5/27/2000,,terrorist,person,killed
0,3,0,3,poonch,5/27/2000,,terrorist,person,killed
0,2,0,2,poonch,5/27/2000,,civilian,person,injured
0,0,1,1,kupwara,5/27/2000,,security,person,killed
0,1,0,1,doda,5/27/2000,,terrorist,person,killed
1,0,0,1,doda,5/27/2000,,civilian,person,killed
0,2,0,2,tinsukia,5/27/2000,,terrorist,person,killed
,1,,1,south tripura,5/27/2000,Tripura,terrorist,person,killed
0,3,0,3,kupwara,5/29/2000,,terrorist,person,killed
0,1,0,1,pulwama,5/29/2000,,terrorist,person,killed
0,3,0,3,poonch,5/29/2000,,terrorist,person,killed
0,1,0,1,patan,5/29/2000,,terrorist,person,killed
0,2,0,2,rajouri,5/29/2000,,terrorist,person,killed
0,3,0,3,rajouri,5/29/2000,,civilian,person,killed
0,2,0,2,doda,5/29/2000,,terrorist,person,injured
0,2,0,2,anantnag,5/29/2000,,terrorist,person,arrested
0,1,0,1,jorhat,5/29/2000,Assam,terrorist,person,killed
0,1,0,1,darrang,5/29/2000,Assam,terrorist,person,killed
,1,,1,mahbubnagar,5/29/2000,Andhra Pradesh,terrorist,person,killed
0,1,0,1,udhampur,5/30/2000,Jammu and Kashmir,terrorist,person,killed
0,1,0,1,bandipora,5/30/2000,Jammu and Kashmir,terrorist,person,killed
2,0,0,2,anantnag,5/30/2000,Jammu and Kashmir,civilian,person,killed
0,,,1,patna,5/30/2000,Bihar,terrorist,person,arrested
0,20,0,20,hazaribagh,5/30/2000,Bihar,terrorist,person,arrested
0,9,0,9,kamrup,5/30/2000,,terrorist,person,surrendered
0,4,0,4,karimnagar,5/31/2000,Andhra Pradesh,civilian,person,killed
1,0,2,3,karimnagar,5/31/2000,Andhra Pradesh,security,person,injured
0,11,0,11,warangal,5/31/2000,Andhra Pradesh,civilian,person,arrested
0,1,0,1,rajouri,5/31/2000,Jammu and Kashmir,terrorist,person,killed
0,4,2,6,srinagar,6/1/2000,Jammu and Kashmir,security,person,killed
0,0,1,1,baramullah,6/1/2000,Jammu and Kashmir,security,person,killed
0,1,0,1,poonch,6/1/2000,Jammu and Kashmir,terrorist,person,killed
,2,,2,bishnupur,6/1/2000,Manipur,terrorist,person,killed
0,0,2,2,bishnupur,6/1/2000,Manipur,security,person,injured
1,0,0,1,rajouri,6/2/2000,Jammu and Kashmir,civilian,person,killed
1,0,0,1,pulwama,6/2/2000,Jammu and Kashmir,civilian,person,killed
0,0,1,1,rajouri,6/2/2000,Jammu and Kashmir,security,person,killed
0,0,1,1,rajouri,6/2/2000,Jammu and Kashmir,civilian,person,injured
0,4,0,4,poonch,6/2/2000,Jammu and Kashmir,terrorist,person,killed
0,3,0,3,baramulla,6/2/2000,Jammu and Kashmir,terrorist,person,killed
0,2,0,2,udhampur,6/2/2000,Jammu and Kashmir,terrorist,person,killed
1,0,0,1,doda,6/2/2000,Jammu and Kashmir,civilian,person,killed
0,1,0,1,baramulla,6/3/2000,Jammu and Kashmir,terrorist,person,killed
1,0,0,1,north tripura,6/3/2000,Tripura,civilian,person,killed
4,0,0,4,north tripura,6/3/2000,Tripura,civilian,person,injured
,4,,4,poonch,6/5/2000,Jammu and Kashmir,security,person,killed
0,0,1,1,srinagar,6/5/2000,Jammu and Kashmir,civilian,person,killed
0,0,2,2,srinagar,6/5/2000,Jammu and Kashmir,security,person,killed
2,,,2,poonch,6/5/2000,Jammu and Kashmir,civilian,person,killed
1,0,0,1,poonch,6/5/2000,Jammu and Kashmir,civilian,person,killed
0,2,0,2,warangal,6/5/2000,Andhra Pradesh,terrorist,person,killed
,1,,1,nalbari,6/5/2000,Assam,terrorist,person,killed
0,0,2,2,bongaigaon,6/5/2000,Assam,security,person,killed
5,0,0,5,bongaigaon,6/5/2000,Assam,civilian,person,injured
0,1,0,1,tinsukia,6/5/2000,Assam,security,person,arrested
0,3,0,3,kupwara,6/6/2000,Jammu and Kashmir,terrorist,person,killed
0,2,0,2,west tripura,6/6/2000,Tripura,terrorist,person,killed
0,1,0,1,darrang,6/6/2000,Assam,terrorist,person,killed
0,1,0,1,kupwara,6/7/2000,Jammu and Kashmir,terrorist,person,killed
0,0,1,1,poonch,6/7/2000,Jammu and Kashmir,security,person,killed
1,0,0,1,doda,6/7/2000,Jammu and Kashmir,civilian,person,injured
1,0,0,1,udhampur,6/7/2000,Jammu and Kashmir,civilian,person,killed
0,2,0,2,ganderbal,6/7/2000,Jammu and Kashmir,terrorist,person,arrested
0,1,0,1,nalbari,6/7/2000,Assam,terrorist,person,killed
0,1,0,1,dibrugarh,6/7/2000,Assam,terrorist,person,arrested
0,1,0,1,sonitpur,6/7/2000,Assam,terrorist,person,arrested
0,1,0,1,west khasi hills,6/8/2000,Meghalaya,terrorist,person,killed
2,0,0,2,west khasi hills,6/8/2000,Meghalaya,civilian,person,injured
0,1,0,1,nagaon,6/8/2000,Assam,terrorist,person,surrendered
0,2,0,2,anantnag,6/9/2000,Jammu and Kashmir,terrorist,person,killed
0,2,0,2,pulwama,6/9/2000,Jammu and Kashmir,terrorist,person,killed
